customer_no,store_id,id,uuid
201809-014791,3kings,8326,705d734a-fcde-49ce-b5ed-ead47009341a
201808-014222,3m82866586,8071,9e2dba63-37a3-4070-85f4-3150e24547c0
,3min,759,6b40b7f9-a892-4d51-b94e-183f01cb1444
201700-000335,3OWLSCAFE,78,1bc858f5-9454-46cd-b0f9-07df37cef4ae
201700-000667,3pig,522,66d276c8-6265-4d84-a3bc-376e62b4c99a
201700-000678,3pounds,535,34d60b9a-d01f-4cf3-9876-c70f765fc804
,3tastes,1460,a7369fd0-46fb-4247-b844-cec7ce483aed
201807-013093,3treestea,7384,c7d2e502-bba5-40d5-8b04-32fbb0b18768
,3woman,4537,33746ffc-4043-4bfd-8381-12c818f24ef4
201708-000924,401,4744,b293904d-622e-4a3d-90a4-2b4656060e36
201709-001209,40883773,4902,c7626b3d-6bcd-448a-9c34-a77788d67b7f
201807-013344,40911091,7469,112a78ee-ef5f-4cb7-a26b-1c1065020a64
,41231238,7912,9079132d-ffed-4f02-9f81-aae79b098830
201804-011680,41cafebar,7125,7c295f01-267b-4080-82f8-1c73cff0d5c6
,42158214,1405,b5f69bc6-8b00-433c-b39f-1244f0631b8f
,42269400,379,ee8670ab-b280-47b8-bed4-a381a31c1fea
201808-013709,42274142,7804,5709b571-cb7b-4328-a749-2ec8f7aef695
,422774142,7640,feed5e84-0da1-44f1-8235-16b27d71a4ef
,42478069,6204,ac61e48b-4fc9-43fc-bc3e-24fb23711eff
,42547798,5338,d6d7738d-db7b-443b-b569-fab66a1c6d7d
,42653045,1105,17e0b1bf-fbd5-49af-8a4b-dad163c66a2b
,42657823,3632,74095eb0-b7d6-4c3c-9d1a-d6f97ef37be1
201700-001055,42748471,1371,fd86f93c-25c6-4353-be1d-9e4f6f96d23c
201807-013502,42755423,7596,40b29a75-df6b-4f75-97fa-bc1e8d2f0fb1
201700-001253,42781718,1690,da7bbe07-6d55-467a-9c7e-b6aae91e8bf6
,42810312,8703,0207b5c2-7c22-4ec5-8968-42ec35564f4c
201700-001589,42842356,2233,a08e887d-33da-4ea0-9124-4cdb26bd5361
201707-000261,42847850,4788,419de078-c93c-4b46-9ddb-4c21c2e06969
201700-002691,428747701,4003,0fd962ee-a730-448e-91e9-8853ba915042
201805-012135,42900616,7001,fb4a7485-7f8b-4379-937b-c1c9fcdb97db
,42902895,7003,70a5c1a1-c946-4083-9a79-32bbb731b240
,42920232,8204,099dc71f-5d9f-42f3-a2a9-5df11f0197c2
,42926860,8891,455d80bd-5565-4f78-aff5-8f59245bbfe7
201806-012443,42967777,7304,cfb1534b-48cb-458e-82c6-92f6c8480932
,42981375,8279,91df4ab0-f8cf-42e9-a729-7f9f172f7c55
201808-013819,42984609,8339,dcc8b9b7-9022-4356-9e53-b2c5db9740b1
201801-003041,42987470,8777,e767658b-c6f8-46f4-929e-be0b596b87c8
,4370255,8087,28d15684-202a-4781-871a-47bfd33d559e
201711-001990,43909517,5334,91bfb6c8-9cbb-4981-86e8-c78836d9729a
201709-001411,44coffee,5594,ac94f2cf-2d7b-47b6-9671-1700aa78bec7
201700-001675,45889889,2350,32ed9c64-dcbd-4398-a967-9d1d7ac1436f
,45coffee,7318,8fedb8af-eb08-4348-b7b2-735a3d0ae8fc
201812-016550,45goodeat,9016,47c8376a-817a-4794-83f2-0cd993eae61a
201801-003322,47722921,6218,18ab0b5c-e351-4eeb-8142-800a7ba49d5c
201710-001533,47808032,5115,72099139-45d0-4758-869b-f8f5c3ee4d71
201712-002474,47929401,5640,6c852f0b-1217-4b15-9fd8-e3fa6d566228
201811-016015,47945269,8763,4be1001d-26fd-40bb-a03b-c29f609e31fe
